date,matchup,category,market,selection,line,book,odds,under_odds,tier,model_prob,ev,result,pnl,raw_prob,fair_prob,bet_prob,close_odds,close_prob,clv,clv_ev,clv_pts,drift,pass_gate,sharp_div
2026-08-29,Hawaii @ Stanford,Moneyline,game_ml,Stanford ML,,draftkings,-185.0,154.0,Pass,0.6245,-0.0379,win,0.5405,0.6282,0.6304,0.6245,-215.0,0.6605,0.0301,0.0175,,-0.0301,,21.0
2026-08-29,Hawaii @ Stanford,Moneyline,game_ml,Hawaii ML,,betrivers,165.0,-210.0,Pass,0.3718,-0.0149,loss,-1.0,0.3718,0.3696,0.3718,189.0,0.3395,-0.0301,-0.1003,,0.0301,,-21.0
2026-08-29,Jacksonville S @ North Dakota S,Moneyline,game_ml,North Dakota S ML,,bovada,-245.0,205.0,Pass,0.6549,-0.0777,win,0.4082,0.6835,0.6945,0.6549,-250.0,0.6996,0.0051,-0.0148,,-0.0054,,-6.0
2026-08-29,Jacksonville S @ North Dakota S,Moneyline,game_ml,Jacksonville S ML,,betus,218.0,-260.0,Pass,0.3165,0.0064,loss,-1.0,0.3165,0.3055,0.3165,226.0,0.3004,-0.0051,-0.0447,,0.0054,,6.0
2026-08-29,Memphis @ UNLV,Moneyline,game_ml,Memphis ML,,lowvig,165.0,-190.0,Pass,0.3529,-0.0648,win,1.65,0.3529,0.3714,0.3529,190.0,0.3378,-0.0336,-0.1048,,0.0343,,27.0
2026-08-29,Memphis @ UNLV,Moneyline,game_ml,UNLV ML,,betus,-185.0,159.0,Pass,0.6349,-0.0219,loss,-1.0,0.6471,0.6286,0.6349,-210.0,0.6622,0.0336,0.0201,,-0.0343,,-27.0
2026-08-29,NC State @ Virginia,Moneyline,game_ml,NC State ML,,betus,163.0,-190.0,Pass,0.3756,-0.0123,loss,-1.0,0.3756,0.3803,0.3756,190.0,0.3417,-0.0386,-0.1013,,0.0386,,7.0
2026-08-29,NC State @ Virginia,Moneyline,game_ml,Virginia ML,,betonlineag,-175.0,153.0,Pass,0.6224,-0.0219,win,0.5714,0.6244,0.6197,0.6224,-210.0,0.6583,0.0386,0.0345,,-0.0386,,-7.0
2026-08-29,New Mexico Sta @ Florida State,Moneyline,game_ml,Florida State ML,,draftkings,-10000.0,3000.0,Pass,0.8105,-0.1814,win,0.01,0.9664,0.9633,0.8105,-6500.0,0.9533,-0.01,-0.0372,,0.01,,-9.0
2026-08-29,New Mexico Sta @ Florida State,Moneyline,game_ml,New Mexico Sta ML,,draftkings,3000.0,-10000.0,Pass,0.0336,0.0424,loss,-1.0,0.0336,0.0367,0.0336,2800.0,0.0467,0.01,0.4477,,-0.01,,9.0
