date,matchup,category,market,selection,line,book,odds,under_odds,tier,model_prob,ev,result,pnl,margin,veto_gate,raw_prob,fair_prob,bet_prob,close_odds,close_prob,clv,clv_ev
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Cam Smith 1B o0.5,0.5,,,,Pass,0.4452,,loss,-1.0,,,0.4735,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Coby Mayo 1B o0.5,0.5,,,,Pass,0.4163,,win,0.91,,,0.4354,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Colton Cowser 1B o0.5,0.5,,,,Pass,0.4311,,loss,-1.0,,,0.4502,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Dylan Beavers 1B o0.5,0.5,,,,Pass,0.4506,,win,0.91,,,0.4955,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Gunnar Henderson 1B o0.5,0.5,,,,Pass,0.4791,,win,0.91,,,0.5341,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Isaac Paredes 1B o0.5,0.5,,,,Pass,0.496,,win,0.91,,,0.5746,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Jackson Holliday 1B o0.5,0.5,,,,Pass,0.4138,,loss,-1.0,,,0.4228,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Jose Altuve 1B o0.5,0.5,,,,Pass,0.422,,loss,-1.0,,,0.4423,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,LaMonte Wade Jr. 1B o0.5,0.5,,,,Pass,0.4485,,loss,-1.0,,,0.4924,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Leody Taveras 1B o0.5,0.5,,,,Pass,0.4452,,win,0.91,,,0.4694,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Lucas Spence 1B o0.5,0.5,,,,Pass,0.4857,,loss,-1.0,,,0.5444,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Nick Allen 1B o0.5,0.5,,,,Pass,0.413,,loss,-1.0,,,0.419,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Pete Alonso 1B o0.5,0.5,,,,Pass,0.4452,,loss,-1.0,,,0.4657,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Raynel Delgado 1B o0.5,0.5,,,,Pass,0.4184,,win,0.91,,,0.4391,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Samuel Basallo 1B o0.5,0.5,,,,Pass,0.4117,,loss,-1.0,,,0.4117,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Taylor Ward 1B o0.5,0.5,,,,Pass,0.4822,,loss,-1.0,,,0.5383,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Yainer Diaz 1B o0.5,0.5,,,,Pass,0.4405,,win,0.91,,,0.4584,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_1b,Yordan Alvarez 1B o0.5,0.5,,,,Pass,0.5023,,loss,-1.0,,,0.5934,,,,,,
2026-07-19,BAL @ HOU,Batter Props,batter_2b,Cam Smith 2B o0.5,0.5,,,,Pass,0.166,,loss,-1.0,,,0.185,,,,,,
