date,tier,n,wins,losses,ppv,npv,base_win,base_loss,ppv_lift,npv_lift,sensitivity,specificity,roi,priced_n,priced_roi
2026-07-19,Buy (S+M),11,2,9,0.1818,0.6671,,,,,0.0014,0.9968,-0.6213,,
2026-07-19,Moderate buy,3,0,3,0.0,0.6672,,,,,0.0,0.9989,-1.0,,
2026-07-19,Pass,4163,1386,2777,0.3329,0.8182,,,,,0.9986,0.0032,-0.3644,,
2026-07-19,Strong buy,8,2,6,0.25,0.6673,,,,,0.0014,0.9978,-0.4793,,
2026-07-20,Buy (S+M),549,200,349,0.3643,0.6319,,,,,0.1754,0.8222,-0.1097,,
2026-07-20,Moderate buy,60,23,37,0.3833,0.6329,,,,,0.0202,0.9812,-0.334,,
2026-07-20,Pass,2554,940,1614,0.3681,0.6357,,,,,0.8246,0.1778,-0.1777,,
2026-07-20,Strong buy,489,177,312,0.362,0.6316,,,,,0.1553,0.8411,-0.0822,,
2026-07-21,Buy (S+M),9,4,5,0.4444,0.668,,,,,0.0036,0.9978,0.0022,,
2026-07-21,Moderate buy,3,1,2,0.3333,0.6677,,,,,0.0009,0.9991,-0.1933,,
2026-07-21,Pass,3380,1122,2258,0.332,0.5556,,,,,0.9964,0.0022,-0.366,,
2026-07-21,Strong buy,6,3,3,0.5,0.668,,,,,0.0027,0.9987,0.1,,
2026-07-22,Buy (S+M),10,5,5,0.5,0.6741,,,,,0.0035,0.9983,0.0225,,
2026-07-22,Moderate buy,2,1,1,0.5,0.6738,,,,,0.0007,0.9997,0.005,,
2026-07-22,Pass,4415,1439,2976,0.3259,0.5,,,,,0.9965,0.0017,-0.3776,,
2026-07-22,Strong buy,8,4,4,0.5,0.674,,,,,0.0028,0.9987,0.0269,,
2026-07-23,Buy (S+M),4,3,1,0.75,0.6821,,,,,0.0072,0.9989,0.4666,,
2026-07-23,Moderate buy,2,1,1,0.5,0.681,,,,,0.0024,0.9989,-0.0192,,
2026-07-23,Pass,1299,413,886,0.3179,0.25,,,,,0.9928,0.0011,-0.3928,,
2026-07-23,Strong buy,2,2,0,1.0,0.6818,,,,,0.0048,1.0,0.9525,,
2026-07-24,Buy (S+M),11,4,7,0.3636,0.6905,,,,,0.0033,0.9974,-0.2159,,
2026-07-24,Moderate buy,2,0,2,0.0,0.6901,,,,,0.0,0.9993,-1.0,,
