date,game,game_pk,line,sum_pts,away_runs,home_runs,result,bands,engine_total,engine_p_over,market_p_over
2026-09-11,BAL @ TOR,822767,8.0,2,7,4,over,centred-2026.09,8.05,0.503,
2026-09-11,CIN @ MIL,823736,8.0,6,0,20,over,centred-2026.09,9.21,0.581,
2026-09-11,CLE @ MIN,823659,7.5,-13,5,2,under,centred-2026.09,,0.4982,0.5077
2026-09-11,COL @ DET,824227,8.0,-1,2,6,push,centred-2026.09,10.2,0.6018,
2026-09-11,CWS @ STL,823012,8.0,6,3,7,over,centred-2026.09,10.35,0.6069,
2026-09-11,HOU @ TB,822930,7.5,-13,1,3,under,centred-2026.09,,0.4899,0.4969
2026-09-11,KC @ BOS,824711,8.0,-1,3,2,under,centred-2026.09,,0.6207,
2026-09-11,LAA @ WSH,822684,7.5,4,3,4,under,centred-2026.09,8.48,0.58,0.5117
2026-09-11,LAD @ MIA,823817,7.5,2,6,2,over,centred-2026.09,,0.486,0.4812
2026-09-11,NYM @ NYY,823498,8.0,-2,4,6,over,centred-2026.09,8.81,0.5545,
2026-09-11,PHI @ ATL,824873,7.0,-15,5,6,over,centred-2026.09,9.74,,
2026-09-11,PIT @ CHC,824631,8.0,3,2,12,over,centred-2026.09,8.54,0.542,
2026-09-11,SD @ SF,823173,8.0,0,7,5,over,centred-2026.09,,0.4191,
2026-09-11,SEA @ ATH,824954,10.0,0,5,6,over,centred-2026.09,,0.5928,
2026-09-11,TEX @ AZ,825036,9.0,-2,1,9,over,centred-2026.09,9.76,0.5483,
2026-09-12,BAL @ TOR,822768,8.5,-8,3,7,over,centred-2026.09,,0.4466,0.484
2026-09-12,CIN @ MIL,823737,8.5,7,9,13,over,centred-2026.09,,,
2026-09-12,CLE @ MIN,823657,8.5,-18,3,4,under,centred-2026.09,9.09,0.5663,0.4812
2026-09-12,COL @ DET,824224,8.5,3,7,11,over,centred-2026.09,9.48,0.5845,0.4849
2026-09-12,CWS @ STL,823009,8.5,3,6,5,over,centred-2026.09,,,
2026-09-12,HOU @ TB,822927,8.0,-7,2,3,under,centred-2026.09,,,
2026-09-12,KC @ BOS,824712,8.5,2,1,5,under,centred-2026.09,9.09,0.5642,0.5069
2026-09-12,LAA @ WSH,822685,8.0,6,5,6,over,centred-2026.09,,0.344,
2026-09-12,LAD @ MIA,823819,8.0,-6,3,4,under,centred-2026.09,8.96,0.5622,
2026-09-12,NYM @ NYY,823496,8.0,-5,12,2,over,centred-2026.09,9.23,0.5824,
2026-09-12,PHI @ ATL,824870,8.5,-3,2,12,over,centred-2026.09,,,
2026-09-12,PIT @ CHC,824630,9.5,9,3,4,under,centred-2026.09,9.26,0.4753,0.5041
2026-09-12,SD @ SF,823170,7.5,-4,7,6,over,centred-2026.09,,0.462,0.5207
2026-09-12,SEA @ ATH,824955,9.5,-5,19,1,over,centred-2026.09,,,
2026-09-12,TEX @ AZ,825035,8.0,-1,6,2,push,centred-2026.09,,,
2026-09-13,BAL @ TOR,822764,7.0,-16,1,8,over,centred-2026.09,,,
2026-09-13,CIN @ MIL,823734,8.0,4,4,3,under,centred-2026.09,9.11,0.577,
2026-09-13,CLE @ MIN,823658,7.5,0,9,2,over,centred-2026.09,9.71,0.6149,0.517
2026-09-13,COL @ DET,824225,9.0,11,1,8,push,centred-2026.09,9.77,0.5528,
2026-09-13,CWS @ STL,823008,8.5,10,1,3,under,centred-2026.09,10.18,0.597,0.5213
2026-09-13,HOU @ TB,822928,7.5,2,4,14,over,centred-2026.09,9.25,0.5971,0.5248
2026-09-13,KC @ BOS,824708,7.5,-3,1,4,under,centred-2026.09,8.4,0.5881,0.48
2026-09-13,LAA @ WSH,822682,9.0,12,5,6,over,centred-2026.09,8.93,0.4946,
2026-09-13,LAD @ MIA,823815,8.0,3,4,6,over,centred-2026.09,10.24,0.6096,
2026-09-13,NYM @ NYY,823495,7.5,-5,0,2,under,centred-2026.09,8.43,0.5881,0.5174
2026-09-13,PHI @ ATL,824869,9.5,6,9,4,over,centred-2026.09,9.1,0.4633,0.48
2026-09-13,PIT @ CHC,824628,7.0,6,4,3,push,centred-2026.09,8.2,,
2026-09-13,SD @ SF,823171,7.0,-5,6,4,over,centred-2026.09,,,
2026-09-13,SEA @ ATH,824952,9.0,-6,7,8,over,centred-2026.09,9.66,0.5504,
2026-09-13,TEX @ AZ,825033,8.0,4,7,6,over,centred-2026.09,8.33,0.5351,
2026-09-14,ATL @ CHC,824629,9.5,10,3,7,over,centred-2026.09,9.77,0.514,0.4997
2026-09-14,BAL @ NYM,823575,8.0,0,2,1,under,centred-2026.09,8.36,0.5346,
2026-09-14,CWS @ CLE,824386,7.0,-9,7,3,over,centred-2026.09,,,
2026-09-14,DET @ TOR,822765,7.5,1,6,5,over,centred-2026.09,7.76,0.5144,0.4967
2026-09-14,LAD @ CIN,824465,7.5,6,4,1,under,centred-2026.09,9.87,0.6194,0.4914
2026-09-14,MIA @ AZ,825034,8.5,8,7,8,over,centred-2026.09,9.37,0.5922,0.4911
2026-09-14,NYY @ MIN,823656,8.0,7,8,3,over,centred-2026.09,,0.6259,
2026-09-14,SD @ COL,824308,11.0,9,8,7,over,centred-2026.09,,,
2026-09-14,SEA @ LAA,823981,7.5,-11,4,6,over,centred-2026.09,7.8,0.5144,0.4925
2026-09-14,SF @ STL,823006,8.0,3,1,2,under,centred-2026.09,,0.4471,
2026-09-15,ATH @ TB,822925,8.0,-4,1,2,under,centred-2026.09,,0.6296,
