date,game_pk,matchup,category,market,selection,player_id,result,model_prob,raw_prob,ev,edge,fair_prob,bet_prob,handle_pct,bets_pct,factor,score,line,bat_xslg,bat_k_pct,bat_bb_pct,bat_singles_under,opp_starter_siera,park_factor,carry_factor,wx_hr_mult,xrd,xrd_sd
2026-07-24,823759,COL @ MIL,game,game_ml,MIL ML,,loss,0.7103111739745405,0.8285,0.1968256766968285,0.111522217334974,,,70.0,80.0,,,,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_ml,COL ML,,win,0.2116920842411039,0.16975,-0.3670406681190993,-0.1274173746986837,,,0.0,0.0,,,,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_rl,MIL -1.5,,loss,0.6026682316118935,0.675,,,,,100.0,100.0,,,-1.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_rl,COL +1.5,,win,0.6026682316118935,0.9005,,,,,0.0,0.0,,,1.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_rl,COL -1.5,,win,0.2,0.0995,,,,,,,,,-1.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_rl,MIL +1.5,,loss,0.4150485436893203,0.325,,,,,,,,,1.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Over 7.5,,loss,0.5760746210292412,0.57775,,,,,,,,,7.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Under 7.5,,win,0.4264148672641298,0.42225,,,,,100.0,100.0,,,7.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Over 8.5,,loss,0.4972430869512579,0.48625,,,,,,,,,8.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Under 8.5,,win,0.5003282716280665,0.5137499999999999,,,,,,,,,8.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Over 9.5,,loss,0.3923611111111111,0.3725,,,,,,,,,9.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
2026-07-24,823759,COL @ MIL,game,game_total,Under 9.5,,win,0.6059069352955699,0.6275,,,,,,,,,9.5,,,,,,101.0,1.0,1.00721134,3.526,4.15810341381741
