date,tier,n,wins,losses,ppv,npv,sensitivity,specificity,roi
2026-07-28,Strong buy,41,19,22,0.4634,0.6838,0.0164,0.9912,-0.0849
2026-07-28,Moderate buy,37,22,15,0.5946,0.685,0.019,0.994,0.1611
2026-07-28,Pass,3572,1119,2453,0.3133,0.4744,0.9647,0.0149,-0.4081
2026-07-28,Buy (S+M),78,41,37,0.5256,0.6867,0.0353,0.9851,0.0318
2026-07-28,Strong buy,44,21,23,0.4773,0.6755,0.0165,0.9913,-0.0621
2026-07-28,Moderate buy,43,25,18,0.5814,0.6766,0.0196,0.9932,0.1324
2026-07-28,Pass,3824,1230,2594,0.3217,0.4713,0.9639,0.0156,-0.392
2026-07-28,Buy (S+M),87,46,41,0.5287,0.6783,0.0361,0.9844,0.034
2026-07-28,Strong buy,44,21,23,0.4773,0.6755,0.0165,0.9913,-0.0621
2026-07-28,Moderate buy,43,25,18,0.5814,0.6766,0.0196,0.9932,0.1324
2026-07-28,Pass,3824,1230,2594,0.3217,0.4713,0.9639,0.0156,-0.392
2026-07-28,Buy (S+M),87,46,41,0.5287,0.6783,0.0361,0.9844,0.034
2026-07-24,Strong buy,0,0,0,0.0,0.6898,0.0,1.0,0.0
2026-07-24,Moderate buy,7,4,3,0.5714,0.6903,0.0033,0.9989,0.0029
2026-07-24,Pass,3900,1208,2692,0.3097,0.4286,0.9967,0.0011,-0.4081
2026-07-24,Buy (S+M),7,4,3,0.5714,0.6903,0.0033,0.9989,0.0029
2026-07-28,Strong buy,44,21,23,0.4773,0.6755,0.0165,0.9913,-0.0621
2026-07-28,Moderate buy,43,25,18,0.5814,0.6766,0.0196,0.9932,0.1324
2026-07-28,Pass,3824,1230,2594,0.3217,0.4713,0.9639,0.0156,-0.392
2026-07-28,Buy (S+M),87,46,41,0.5287,0.6783,0.0361,0.9844,0.034
2026-07-24,Strong buy,0,0,0,0.0,0.6898,0.0,1.0,0.0
2026-07-24,Moderate buy,7,4,3,0.5714,0.6903,0.0033,0.9989,0.0029
2026-07-24,Pass,3900,1208,2692,0.3097,0.4286,0.9967,0.0011,-0.4081
2026-07-24,Buy (S+M),7,4,3,0.5714,0.6903,0.0033,0.9989,0.0029
2026-07-28,Strong buy,44,21,23,0.4773,0.6755,0.0165,0.9913,-0.0621
2026-07-28,Moderate buy,43,25,18,0.5814,0.6766,0.0196,0.9932,0.1324
2026-07-28,Pass,3824,1230,2594,0.3217,0.4713,0.9639,0.0156,-0.392
2026-07-28,Buy (S+M),87,46,41,0.5287,0.6783,0.0361,0.9844,0.034
2026-07-30,Strong buy,7,3,4,0.4286,0.7067,0.0039,0.9978,-0.1894
2026-07-30,Moderate buy,7,4,3,0.5714,0.7071,0.0052,0.9984,0.0606
2026-07-30,Pass,2588,757,1831,0.2925,0.5,0.9908,0.0038,-0.4425
2026-07-30,Buy (S+M),14,7,7,0.5,0.7075,0.0092,0.9962,-0.0644
2026-07-29,Strong buy,36,15,21,0.4167,0.7317,0.0152,0.9921,-0.1192
2026-07-29,Moderate buy,13,5,8,0.3846,0.7307,0.0051,0.997,-0.2372
2026-07-29,Pass,3603,965,2638,0.2678,0.5918,0.9797,0.0109,-0.4913
2026-07-29,Buy (S+M),49,20,29,0.4082,0.7322,0.0203,0.9891,-0.1505
2026-07-29,Strong buy,36,15,21,0.4167,0.7317,0.0152,0.9921,-0.1192
2026-07-29,Moderate buy,13,5,8,0.3846,0.7307,0.0051,0.997,-0.2372
2026-07-29,Pass,3603,965,2638,0.2678,0.5918,0.9797,0.0109,-0.4913
2026-07-29,Buy (S+M),49,20,29,0.4082,0.7322,0.0203,0.9891,-0.1505
